French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
aucune,any
place,square
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
